date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:03	13804/13804	---MCZ	200	added ('OK')	text/html	etag:W/%22edd425f7dee4f2656ffcc7e99f5cd189%22	https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/indexcbab.html	(from )
12:28:03	8014/8014	---MCZ	200	added ('OK')	text/html	etag:W/%22edd425f7dee4f2656ffcc7e99f5cd189%22	https://aviator-demo.spribegaming.com/robots.txt		(from )
12:28:03	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:03%20GMT	http://aviator-demo.spribegaming.com/assets/ico/favicon.png	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/assets/ico/favicon.0.delayed	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:03	1105/1105	---M--	200	added ('OK')	image/png	etag:%2205d49fb68dcb89635b93941e73de3b40%22	https://aviator-demo.spribegaming.com/assets/ico/favicon.png	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/assets/ico/favicon.png	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:04%20GMT	http://aviator-demo.spribegaming.com/Roboto-Regular.ae3a8db9374784f0.ttf	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/Roboto-Regular.ae3a8db9374784f0.ttf	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:06	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:04%20GMT	http://aviator-demo.spribegaming.com/Roboto-Bold.88d61d57d557fec8.ttf	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/Roboto-Bold.88d61d57d557fec8.ttf	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:06	171272/171272	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%2211eabca2251325cfc5589c9c6fb57b46%22	https://aviator-demo.spribegaming.com/Roboto-Regular.ae3a8db9374784f0.ttf	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/Roboto-Regular.ae3a8db9374784f0.ttf	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:07	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:07%20GMT	http://aviator-demo.spribegaming.com/styles.e27ccec92ae287f2.css	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/styles.e27ccec92ae287f2.css	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:07	152787/152787	---MCZ	200	added ('OK')	text/css	etag:W/%221791ce584a1dc6578f7287a545f9f8dc%22	https://aviator-demo.spribegaming.com/styles.e27ccec92ae287f2.css	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/styles.e27ccec92ae287f2.css	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:07%20GMT	http://aviator-demo.spribegaming.com/runtime.b3e4a4f12e39ab5f.js	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/runtime.b3e4a4f12e39ab5f.js	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:09	170348/170348	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%22e07df86cef2e721115583d61d1fb68a6%22	https://aviator-demo.spribegaming.com/Roboto-Bold.88d61d57d557fec8.ttf	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/Roboto-Bold.88d61d57d557fec8.ttf	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:09%20GMT	http://aviator-demo.spribegaming.com/polyfills.48beaefad335fdd8.js	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/polyfills.48beaefad335fdd8.js	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:09	1566/1566	---MCZ	200	added ('OK')	application/javascript	etag:W/%220ef08e25b336c7d9aafcaacceb47e08c%22	https://aviator-demo.spribegaming.com/runtime.b3e4a4f12e39ab5f.js	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/runtime.b3e4a4f12e39ab5f.js	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:09	97336/97336	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c46f132cbd8bd1b17320947272a50bed%22	https://aviator-demo.spribegaming.com/polyfills.48beaefad335fdd8.js	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/polyfills.48beaefad335fdd8.js	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20May%202023%2015:28:10%20GMT	http://aviator-demo.spribegaming.com/main.d67a20ac31c43f53.js	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/main.d67a20ac31c43f53.js	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
12:28:11	2058346/2058346	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215ecce90cb0b38b7a804b77c66e40987%22	https://aviator-demo.spribegaming.com/main.d67a20ac31c43f53.js	D:/OneDrive/Documentos/Projetos%20APPDAROI/Aviator/aviator-demo.spribegaming.com/main.d67a20ac31c43f53.js	(from https://aviator-demo.spribegaming.com/?currency=USD&operator=demo&jurisdiction=CW&lang=EN&return_url=https:%2F%2Fspribe.co%2Fgames&user=78590&token=Q7AFG8dbElEaplGQkXMnVBT08KqfzXqv)
